sentence,Index
हा हक्क आणीबाणीतही रद्द करता येत नाही,1
तो सर्व नागरिकांनाही उपलब्ध आहे,1
यक्तीला त्याचा व्यक्तिगत अवकाश व गुणवत्तापूर्ण जीवन जगण्याची संधी या हक्काने प्राप्त होत आहे.,1
पण या कलमाने हक्काला व्यक्तिगत स्वरूप मिळवून दिले आहे.,1
‘द कपिल शर्मा शो’ हा हिंदी टेलिव्हिजनवरील सर्वात लोकप्रिय कार्यक्रमांपैकी एक आहे.,0
या शोचे नवे पर्व १० सप्टेंबरला प्रेक्षकांच्या भेटीला येत आहे.,0
कपिल शर्माच्या या कार्यक्रमाची सर्वत्र चर्चा होत आहे.,0
खास नव्या पर्वासाठी कपिलने वजन कमी केले आहे,0
त्याचा नवा लूक देखील समोर आला आहे,0
काही दिवसांपूर्वी कृष्णा अभिषेक याने द कपिल शर्मा शो सोडल्याची घोषणा केली होती,0
कार्यक्रमाच्या निर्मात्यांशी झालेल्या करारातील चुकांमुळे हा कार्यक्रम करत नसल्याचे कारण त्याने दिले होते,0
पण कृष्णा अभिषेकने मानधनाच्या मुद्दावरुन कार्यक्रम सोडण्याचा निर्णय घेतला असल्याचे म्हटले जात आहे.,0
कृष्णाव्यतिरिक्त अभिनेत्री भारती सिंहने हा कार्यक्रम सोडणार असल्याची शक्यता वर्तवली जात होती.,0
भारती सिंह द कपिल शर्मा शोचा अविभाज्य भाग आहे,0
भारती सिंह सध्याची सर्वात लोकप्रिय सूत्रसंचालिका आहे.,0
८० आणि ९० च्या दशकात बॉलिवूड चित्रपटांना उभारी देणारा अभिनेता म्हणजे गोविंदा,0
अमिताभ बच्चन यांच्या कारकिर्दीला उतरती कळा लागली होती,0
एकूणच हिंदी चित्रपटात तोचतोचपणा यायला लागला होता.,0
पण त्या काळात खऱ्या अर्थाने प्रेक्षकांचं मनोरंजन गोविंदाने केलं होतं,0
एक गाजलेला चित्रपट म्हणजे ‘दुल्हे राजा’.,0
पटकथा लिहून झाल्यावर त्यानुसार या रिमेकमध्ये मोठ्या स्टारला घ्यायचं की नाही याचा निर्णय घेण्यात येईल.,0
यामध्ये शाहरुख मुख्य भूमिकेत दिसणार असल्याची चर्चा होत आहे,0
शाहरुखचे ३ चित्रपट येत्या नवीन वर्षात चित्रपटगृहात झळकणार आहेत.,0
 या चित्रपटात पहिल्यांदाच बिग बी अर्थात अमिताभ बच्चन नागराज सोबत काम करत होते.,0
चित्रपटाला फारसे यश मिळाले नाही मात्र समीक्षकांनी या चित्रपटाचे कौतुक केले.,0
अमिताभ बच्चन सध्या ‘कौन बनेगा करोडपती’ कार्यक्रमात व्यस्त आहेत.,0
विशेष म्हणजे या चित्रपटात पुष्पा फेम अभिनेत्री रश्मीका मंदना देखील दिसणार आहे.,0
तिचा हा पहिलाच हिंदी चित्रपट असणार आहे.,0
अमिताभ बच्चन तिच्या वडिलांच्या भूमिकेत आहेत.,0
चित्रपटाच्या पोस्टरमध्ये त्यांचे कुटुंब आणि पाळीव प्राणी दिसत आहे.,0
झी मराठी वाहिनीवरील प्रेक्षकांच्या पसंतीस उतरलेली मालिका ‘माझी तुझी रेशीमगाठ’ आता लवकरच निरोप घेणार आहे.,0
या मालिकेत येणाऱ्या अनेक ट्विस्टमुळे ही मालिका घराघरात लोकप्रिय झाली आहे.,0
संकर्षण कऱ्हाडे या मालिकेत श्रेयस तळपदे मित्राची भूमिका करत होता,0
सुबोध भावे या चित्रपटात छत्रपती शिवरायांच्या भूमिकेत दिसणार आहे.,0
‘हर हर महादेव’ चित्रपटात अनेक नामवंत कलाकारांची मांदियाळी असणार आहे.,0
मराठीतील दिग्गज दिग्दर्शकांपैकी एक नाव म्हणजे दिग्दर्शक केदार शिंदे.,0
"केदार शिंदे यांनी मराठी नाट्यभूमी, मालिका विश्व आणि सिनेमा क्षेत्र अशा तिन्ही माध्यमांमध्ये उल्लेखनीय कामगिरी केलेली आहे.",0
"दिग्दर्शक केदार शिंदे, कृष्णराव गणपतराव साबळे उर्फ शाहीर साबळे यांच्या आयुष्यावर आधारित एक चित्रपट घेऊन येणार आहेत.",0
त्यांच्या आगामी चित्रपटाच्या संहितेची पूजा दादर येथील स्वामींच्या मठात केली आहे.,0
या चित्रपटात शाहिरांच्या मुख्य भूमिकेत अंकुश चौधरी झळकणार आहे.,0
या चित्रपटातील संगीत महाराष्ट्राचे लाडके गायक अजय- अतुल यांनी दिले आहे,0
या चित्रपटाची घोषणा महाराष्ट्र दिनाच्या शुभमुहूर्तावर करण्यात आली होती.,0
अभिनेता प्रसाद ओकची मुख्य भूमिका असलेला ‘धर्मवीर मुक्काम पोस्ट ठाणे’ हा चित्रपट प्रदर्शित होऊन काही महिने उलटले असले तरी चित्रपटाची चर्चा मात्र कायम आहे.,0
अभिनेता विकी कौशल सध्या खूप चर्चेत आहे,0
गेल्या वर्षी त्याचा ‘सरदार उधम’ हा चित्रपट प्रदर्शित झाला होता.,0
 शूजित सरकार यांनी या चित्रपटाचे दिग्दर्शन केले होते.,0
सरदार उधम चित्रपटामध्ये केलेल्या कामाबद्दल विकीचे सर्वांनी कौतुक झाले होते.,0
विकी कौशल बॉलिवूडमधला सर्वात लोकप्रिय अभिनेत्यांपैकी एक आहे.,0
सरदार उधमनंतर विकी आणखी एका चरित्रपटामध्ये दिसणार आहे,0
सध्या विकी या चरित्रपटाच्या चित्रीकरण करण्यात गुंतलेला आहे.,0
ऑस्करसारख्या पुरस्कारावर भारताचं नाव कोरणाऱ्या रहमानचे साऱ्या जगभरात चाहते आहेत.,0
भारतीय संगीतक्षेत्रात रहमानचं योगदान अमूल्य आहे.,0
नुकतंच रहमानने त्याच्या सोशल मीडिया अकाऊंटवरून कॅनडामधील एका शहरातील रस्त्याला त्याचं नाव दिल्याची बातमी जाहीर केली आहे,0
सिटी ऑफ मारखमच्या महापौरांनी रहमानला हा सन्मान दिला,0
रहमानने आजवर कित्येक चित्रपटांना संगीत दिलं आहे.,0
रहमानच्या ‘जय हो’ या गाण्याला ऑस्कर पुरस्कारदेखील मिळाला आहे.,0
या गाण्याचे शब्द गुलजार यांनी लिहिले आहेत,0
सुखविंदर सिंग यांनी ते गाणं गायलं आहे.,0
मणीरत्नम यांच्या आगामी ‘PS 1’ या चित्रपटाच्या संगीताची धुरा रहमान यांच्या खांद्यावर आहे.,0
अभिनेता शाहरूख खानच्या आगामी ‘जवान’ या चित्रपटाची घोषणा झाल्यापासून त्याचे चाहते या चित्रपटाची आतुरतेने वाट बघत आहेत.,0
"हा चित्रपट एक ब्लॉकबस्टर चित्रपट ठरेल असे चित्रपटप्रेमींना वाटत आहे,",0
फक्त शाहरुखच नाही तर या चित्रपटात तामिळ सुपरस्टार विजय सेतुपती एका जबरदस्त भूमिकेत झळकणार आहे.,0
सुप्रसिद्ध दक्षिणात्य अभिनेत्री नयनतारासुद्धा एक महत्त्वपूर्ण भूमिका या चित्रपटात साकारत आहे.,0
पण सध्या या चित्रपटाच्या वेगळ्याच गोष्टीबद्दल चर्चा होत आहे.,0
विजय सेतुपतीने या चित्रपटासाठी घेतलेले मानधन हा या चर्चेचा विषय बनला आहे.,0
"‘जवान’ मध्ये विजयची भूमिका इतकी महत्त्वपूर्ण आहे की, तो या चित्रपटाला नकार देऊ शकला नाही.",0
विजय या चित्रपटात नकारात्मक भूमिका साकारताना दिसणार आहे.,0
शाहरूखने स्वतः या चित्रपटाबद्दल विजय सेतुपतीसोबत चर्चा केली आणि त्याचा होकार मिळवला.,0
"‘जवान’ हा सिनेमा हिंदीशिवाय तामिळ, तेलगू, कन्नड व मल्याळम भाषेत प्रदर्शित होणार आहे.",0
हा चित्रपट २०२३ मध्ये प्रदर्शित होणार आहे.,0
बॉलिवूडमध्ये सध्या रिमेक आणि चरित्रपट यांचा सुळसुळाट झाला असल्याचं दिसत आहे.,0
त्यातूनही एखाद्या खेळाडूचा चरित्रपट हे बॉलिवूडमध्ये चांगलेच चालतात.,0
मध्यंतरी तापसी पन्नूचा मिथाली राज या महिला क्रिकेटपटूवर चित्रपट आला होता.,0
हा चित्रपट एवढा खास चालला नसला तरी एकंदरच क्रिकेटपटूंच्या चरित्रपटात प्रेक्षकांना प्रचंड रस असतो.,0
अभिनेत्री अनुष्का शर्मादेखील याच धाटणीचा ‘चकदा एक्सप्रेस’ हा चित्रपट प्रेक्षकांसाठी घेऊन येत आहे.,0
अनुष्का शर्मा झूलन गोस्वामी या महिला क्रिकेटपटूच्या चरित्रपटात मुख्य भूमिकेत दिसणार आहे.,0
अनुष्का या चित्रपटासाठी चांगलीच मेहनत घेत आहे.,0
याबरोबरच तयारीसाठी अनुष्काने इंग्लंडला जाऊन क्रिकेटचं रीतसर प्रशिक्षण घेतलं होतं.,0
झूलन गोस्वामी यांचं वैयक्तिक आयुष्य आणि क्रिकेटच्या कारकीर्दीवर हा चित्रपट प्रकाश टाकणार आहे.,0
आशिकी चित्रपटाचा तिसरा भाग येणार असल्याची घोषणा ५ सप्टेंबर रोजी करण्यात आली.,0
या चित्रपटात कार्तिक आर्यन मुख्य भूमिका साकारणार आहे.,0
"या चित्रपटाची घोषणा झाल्यानंतर या चित्रपटात मुख्य अभिनेत्री कोण असणार, याबद्दल चर्चा सुरू झाली",0
त्यातूनच टीव्ही अभिनेत्री जेनिफर विंगेट कार्तिक आर्यनसह मुख्य भूमिकेत दिसणार असल्याच्या चर्चांना उधाण आलं होतं.,0
दिग्दर्शक अनुराग बासू यांनी कास्टिंगच्या अफवा फेटाळून लावल्या आहेत,0
चित्रपटाची स्टारकास्ट नंतर ठरवली जाणार असल्याचं त्यांनी स्पष्ट केलं.,0
चित्रपटाच्या निर्मात्यांनी याबद्दल अधिकृत निवेदन प्रसिद्ध केलंय.,0
कंगनाचा आणखी एक बहुचर्चित चित्रपट लांबणीवर पडण्याची शक्यता आहे.,0
या चित्रपटाचं नाव आहे ‘तेजस’.,0
हा चित्रपट ठरलेल्या तारखेला प्रदर्शित होऊ शकणार नसून थेट पुढल्या वर्षीच हा चित्रपट येणार असल्याचं सांगितलं जात आहे.,0
कंगनाचा हा चित्रपट तेजस गिल या पायलटच्या जीवनावर बेतलेला आहे.,0
चित्रपटाच्या दिग्दर्शनाची धुरा सर्वेश मेवाडा यांच्या खांद्यावर आहे.,0
मध्यंतरी हा चित्रपट थेट ओटीटीवर प्रदर्शित होईल अशी शक्यता वर्तवण्यात आली होती,0
चित्रपट हा थेट सिनेगृहातच प्रदर्शित होईल असं निर्मात्यांनी स्पष्ट केलं आहे.,0
‘धाकड’नंतर कंगना पुन्हा या चित्रपटात दमदार अॅक्शन करताना दिसणार आहे.,0
कंगनाच्या या दोन्ही चित्रपटांची तिचे चाहते आतुरतेने वाट बघत आहेत.,0
बऱ्याच प्रतीक्षेनंतर विराट कोहलीने दमदार शतक झळकावले आहे.,2
मागील बऱ्याच वर्षांपासून क्रिकेटप्रेमींचे विराट शतकी खेळी कधी खेळणार याकडे लक्ष लागले होते.,2
त्याने आंतरराष्ट्रीय क्रिकेटमध्ये आपले ७१ वे शतक झळकावले आहे.,2
आज त्याने अफगाणिस्तानविरोधातील सामन्यात लाखो क्रिकेटप्रेमींची ही इच्छा पूर्ण केली आहे,2
भारताचे आशिया चषकातील आव्हान संपुष्टात आलेले आहे.,2
आजच्या औपचारिक सामन्यात मात्र विराटने धडाकेबाज फलंदाजी करत भारतीयांचे मन जिंकले.,2
विराट कोहली बऱ्याच दिवसांपासून धावांसाठी झगडताना दिसत होता.,2
 महिन्याभराचा ब्रेक घेतल्यानंतर विराट कोहलीची बॅट पुन्हा एकदा तळपली आहे.,2
अफगाणिस्तानविरोधातील आजच्या सामन्यात नाबाद शतकी खेळी केली आहे.,2
शतकी खेळी करून ६१ चेंडूंमध्ये १२२ धावा केल्या,2
भारताचा ऑलिम्पिक सुवर्णपदक विजेता भालाफेकपटू नीरज चौप्राने एक नवा इतिहास रचला आहे,2
प्रतिष्ठित डायमंड ट्रॉफी जिंकणारा नीरज हा पहिला भारतीय खेळाडू ठरला आहे.,2
स्वित्झर्लंडच्या झुरिचमध्ये ही डायमंड लीग पार पडली.,2
नीरजने २०२१ साली पार पडलेल्या टोकियो ऑलिम्पिकमध्ये सुवर्णपदक पटकावत इतिहास रचला होता.,2
२०१८ मधील आशिया स्पर्धा आणि राष्ट्रकुल स्पर्धेत नीरजने सुवर्णपदकाची कमाई केली होती.,2
भारताचा हुकमी ड्रॅग-फ्लिकर हरमनप्रीत सिंगला वर्षांतील सर्वोत्तम हॉकीपटूच्या पुरस्कारासाठी नामांकन मिळाले,2
 पीआर श्रीजेश आणि कर्णधार सविता पुनिया यांना अनुक्रमे पुरुष आणि महिला गटातील सर्वोत्तम गोलरक्षक पुरस्कारासाठी नामांकन मिळाले आहे.,2
विजेत्यांची घोषणा ऑक्टोबरच्या सुरुवातीला करण्यात येईल.,1
ओडिशा जगरनॉट्स संघाने रविवारी पहिल्या अल्टिमेट खो-खो लीगचे विजेतेपद पटकावले,2
अखेरच्या मिनिटापर्यंत रंगलेल्या अंतिम सामन्यात ओडिशाने तेलुगु योद्धाजचे आव्हान ४६-४५ असे अवघ्या एका गुणाने परतवून लावले.,2
संपूर्ण सामना बचावाच्या आघाडीवर खेळला गेला,2
सुरज लांडेने ओडिशाला विजय मिळवून दिला.,2
स्पर्धेतील सर्वोत्तम खेळाडूचा पुरस्कार रामजी कश्यपला मिळाला.,2
सर्वोत्तम बचावपटू म्हणून दीपक माधवला गौरविण्यात आले.,2
सचिन भार्गवच्या ‘पॉवर-प्ले’मधील आक्रमणाने तेलुगुची बाजू भक्कम झाली,2
४ सप्टेंबर १९६२ हा दिवस भारताच्या फुटबॉल इतिहासातील सुवर्णाक्षरांनी लिहिला गेला.,2
याच दिवशी भारताने आशियाई क्रीडा स्पर्धेत सुवर्णपदक जिंकले होते.,2
यावर्षी या घटनेला ६० वर्षे पूर्ण होत आहेत.,2
भारतीय फुटबॉल इतिहासातील १९५१ ते १९६२ हा कालखंड सुवर्णकाळ म्हणून ओळखला जातो.,2
१९५१मध्ये भारतात आयोजित केलेल्या आशियाई क्रीडा स्पर्धेत भारताने अंतिम सामन्यात इराणला हरवून सुवर्णपदक पटकावले. ,2
भारताने यानंतर चौरंगी फुटबॉल स्पर्धेचे जेतेपद मिळवले,2
 १९५४च्या मनिला येथील आशियाई क्रीडा स्पर्धेत भारत आठव्या स्थानी राहिला.,2
१९५६ मध्ये पार पडलेल्या ऑलिम्पिकमध्ये भारताने चौथे स्थान मिळवले.,2
भारताने यजमान ऑस्ट्रेलियाला पराभूत करीत उपांत्य फेरी गाठली.,2
रहीम यांना भारतीय फुटबॉलचे युगप्रवर्तक म्हणून ओळखले जाते.,2
राष्ट्रकुल क्रीडा स्पर्धेतील पदक विजेत्या खेळांडूंना देण्यात येणाऱ्या बक्षिसांच्या रकमेमध्ये राज्य सरकारकडून वाढ करण्यात आली आहे. ,2
भारतीय बॅडिमटन जोडीची जागतिक स्पर्धेतील वाटचाल उपांत्य फेरीत संपुष्टात आली,2
सात्त्विक-चिराग यानंतरही जागतिक स्पर्धेत कांस्यपदकाचे मानकरी ठरले.,2
जागतिक स्पर्धेत पुरुष दुहेरीतील हे पहिलेच पदक ठरले.,2
जागतिक क्रमवारीतील सहाव्या स्थानावरील जोडीकडून सात्त्विक-चिरागला सलग सहाव्या लढतीत पराभव पत्करावा लागला.,2
"राष्ट्रकुल स्पर्धेतील सुवर्णपदकाची कमाई करणाऱ्या सात्त्विक-चिरागला उपांत्य फेरीत २२-२०, १८-२१, १६-२१ असा पराभव पत्करावा लागला.",2
ऑलिम्पिक स्पर्धेतील कांस्यपदक विजेत्या मलेशियाच्या जोडीने ७७ मिनिटांच्या लढतीनंतर विजय मिळवला.,2
मलेशियन जोडीच्या फटक्यांपुढे भारतीय जोडी प्रभाव पाडू शकली नाही.,2
पहिल्या गेमला भारतीय जोडीने झकास सुरुवात केली.,2
भारतीय जोडीने सलग दोन गुणांची कमाई करत पहिली गेम जिंकली.,2
दुसऱ्या गेममध्ये सोह-अ‍ॅरॉन यांच्या आक्रमक पवित्र्यामुळे भारतीय जोडीकडून दडपणाखाली चुका झाल्या.,2
"जागतिक स्पर्धेतील वाटचाल उपांत्य फेरीपर्यंत मर्यादित राहणे, हे दुर्दैवी आहे.",2
जागतिक स्पर्धेतील या महत्त्वाच्या सामन्यात नशिबाची साथ मिळायला हवी होती.,2
आम्हाला जागतिक स्पर्धेत पदक मिळवायचे होते.,2
