sentence,English Translation ,Sentiment,Source,Index,index
ٹوٹے ہوئے بیج نئے پودوں کو زندگی دیتے ہیں,Broken seeds give life to new plants,Positive,https://www.quotepoetry.com/2021/04/one-line-quotes-in-urdu.html,1,2
اپنے مطلب کے لیے اپنا بناتے ہیں سب,Everyone makes their own for their own meaning,Neutral,https://www.exlazy.com/2022/02/one-line-urdu-caption.html,0,0
مرد محبت میں بلکل ضدی بچوں جیسا ہوتا ہے,Men are like stubborn children in love,Neutral,https://www.quotepoetry.com/2021/04/one-line-quotes-in-urdu.html,0,0
دشموں کی کیسی فکر، احتیاط اپنوں سے کیجیۓ,"How to worry about enemies, be careful with yourself",Positive,https://www.exlazy.com/2022/02/one-line-urdu-caption.html,1,2
آنکھ میں مرنے والے سپنے کالے حلقے بن جاتے ہیں,Dead dreams in the eye become dark circles,Negative,https://www.quotepoetry.com/2021/04/one-line-quotes-in-urdu.html,-1,1
میں انا پسند بھی انتہا کا ہوں اور جھکنا بھی خوب آتا ہے,I am also extremely egotistical and love to bow down,Negative,https://www.quotepoetry.com/2021/04/one-line-quotes-in-urdu.html,-1,1
بولتا بھی بلا کا ہوں اور خاموش ہونے پر آؤں تو در بن جاؤں,"Even when I speak, I am called and when I am silent, I will become a door",Negative,https://www.quotepoetry.com/2021/04/one-line-quotes-in-urdu.html,-1,1
لوگ محبت والے ہوں یا نفرت والے انھیں دل میں ہی رکھتا ہوں,"Whether people are lovers or haters, I keep them in my heart",Positive,https://www.quotepoetry.com/2021/04/one-line-quotes-in-urdu.html,1,2
تم میری ہر خوشی کی قاتل ہو,You are the killer of my every happiness,Negative,https://www.exlazy.com/2022/02/one-line-urdu-caption.html,-1,1
ہر شخص اچھا ہے چلے جانے کے بعد,Everyone is good after leaving,Negative,https://www.exlazy.com/2022/02/one-line-urdu-caption.html,-1,1
سبکو خوش رکھتے رکھتے اپنی خوشی نے خودکشی کر لی,"While keeping everyone happy, his happiness committed suicide",Negative,https://www.exlazy.com/2022/02/one-line-urdu-caption.html,-1,1
کبھی دل کرتا ہے کسی سے روح کے لیول پر جا کے گفتگو ہو,Sometimes the heart wants to talk to someone on the soul level,Neutral,https://www.quotepoetry.com/2021/04/one-line-quotes-in-urdu.html,0,0
صورت کی دیوانی دنیا، من کے اندر جھانکے کون,"The crazy world of appearance, who peeps inside my mind",Positive,https://www.exlazy.com/2022/02/one-line-urdu-caption.html,1,2
ہر لڑکی دل نہیں توڑتی، ہر لڑکا جسم نہیں چاہتا,"Not every girl breaks a heart, not every boy wants a body",Positive,https://www.exlazy.com/2022/02/one-line-urdu-caption.html,1,2
میں شام کے منظر میں ہوں تحلیل شدہ,I am dissolved in the evening scene,Positive,https://www.exlazy.com/2022/02/one-line-urdu-caption.html,1,2
حیا کی کشش حسن سے زیادہ ہوتی ہے,Modesty is more attractive than beauty,Neutral,https://www.exlazy.com/2022/02/one-line-urdu-caption.html,0,0
تنہائی بہتر ہے بےپرواہ لوگوں سے,Loneliness is better than careless people,Negative,https://www.exlazy.com/2022/02/one-line-urdu-caption.html,-1,1
کوئی بھی آزمائش ہمیشہ نہیں رہتی,No trial lasts forever,Negative,https://www.exlazy.com/2022/02/one-line-urdu-caption.html,-1,1
ہائے. یہ وقتی دنیا میں کھوئے ہوئے لوگ,hey People lost in this temporal world,Negative,https://www.exlazy.com/2022/02/one-line-urdu-caption.html,-1,1
کتنا کچھ ہنس کر سہہ گیا یہ دل,How much this heart has endured with laughter,Negative,https://www.exlazy.com/2022/02/one-line-urdu-caption.html,-1,1
مجھے راز رکھنا اچھا لگتا ہے میں بھی تو ایک راز ہوں ناں,"I like to keep secrets, I'm a secret too, right?",Positive,https://www.quotepoetry.com/2021/04/one-line-quotes-in-urdu.html,1,2
ﻃﺒﯿﻌــــــــــــﺖ ﻣﯿﮟ ﺍﭘﻨﯽ ﺍﮎ ﮔﮩﺮﺍ ﺭﺍﺯ ﮨﮯ ﺳﻮﺍﺋﮯﻣﯿﺮﮮ ﮐﻮﺋﯽ ﻣﺠﮭﮯ ﺟﺎﻧﺘﺎ ﻧﮩﯿﮟ,"There is a deep secret in nature, no one knows me.",Negative,https://www.quotepoetry.com/2021/04/one-line-quotes-in-urdu.html,-1,1
دھوپ کا تو بس نام ہی بدنام ہے جلتے تو لوگ ایک دوسرے سے ہیں,"Even the name of the sun is infamous, but when it burns, people are with each other",Negative,https://www.quotepoetry.com/2021/04/one-line-quotes-in-urdu.html,-1,1
صبر کرنے کا ہرگز یہ مطلب نہیں کہ آپ نے رونا نہیں ہے,Being patient doesn't mean you don't cry,Neutral,https://www.quotepoetry.com/2021/04/one-line-quotes-in-urdu.html,0,0
میں اپنی پوری کوشش کروں گا۔,I will try my level best.,Positive ,https://learnenglishfromurdu.com/daily-use-english-sentences/,1,2
معاف کیجئیے گا۔,Excuse me.,Neutral,https://learnenglishfromurdu.com/daily-use-english-sentences/,0,0
میں آج تھکا ہوا محسوس کر رہا ہوں۔,I am feeling tired today.,Positive ,https://learnenglishfromurdu.com/daily-use-english-sentences/,1,2
یہ آپ کا کوئی کام نہیں ہے۔,It’s none of your business.,Negative ,https://learnenglishfromurdu.com/daily-use-english-sentences/,-1,1
جلدی آو۔,Come quickly.,Positive ,https://learnenglishfromurdu.com/daily-use-english-sentences/,1,2
کیا ہو رہا ہے؟,What is going on?,Positive ,https://learnenglishfromurdu.com/daily-use-english-sentences/,1,2
جوتے پہن لو۔,Put on the shoes.,Positive ,https://learnenglishfromurdu.com/daily-use-english-sentences/,1,2
اپنی قمیض پہن لو۔,Put on your shirt.,Positive ,https://learnenglishfromurdu.com/daily-use-english-sentences/,1,2
اپنی بنیان پہن لو۔,Put on your vest.,Neutral ,https://learnenglishfromurdu.com/daily-use-english-sentences/,0,0
کوڑا کرکٹ کچرے کے ڈبے میں ڈالیں۔,Put the garbage in the dust bin.,Positive ,https://learnenglishfromurdu.com/daily-use-english-sentences/,1,2
عمدہ,Excellent,Positive,https://www.instagram.com/p/CkqQ4AXo5o5/?utm_source=ig_web_copy_link,1,2
سبحان اللہ                                                                                              ,Subhan Allah,Positive,https://www.instagram.com/p/CkqBBM1MwpY/?utm_source=ig_web_copy_link,1,2
بیشک,Of Course,Positive,https://www.instagram.com/p/CkqBBM1MwpY/?utm_source=ig_web_copy_link,1,2
یاالله مدد,Ya Allah help,Positive,https://www.instagram.com/p/CkqBBM1MwpY/?utm_source=ig_web_copy_link,1,2
تو رہ نورد شوق ہے تو منزل نہ کر قبول                                                     ,"If you are interested, then don't accept the destination 👏",Positive,https://www.instagram.com/p/CktdDtEMAe7/?utm_source=ig_web_copy_link,1,2
بھترین جا,Go best,Positive,https://www.instagram.com/p/CPIYR1-Aw3V/?utm_source=ig_web_copy_link,1,2
بے حد حسین,Extremely handsome,Positive,https://www.instagram.com/p/CPIYR1-Aw3V/?utm_source=ig_web_copy_link,1,2
کون سمجھائے بابر صاحب کو۔ وہ تو کنگو ہیں!                                                 ,Who will explain to Babar? They are King!,Neutral,https://www.instagram.com/p/CknZt38LLQH/?utm_source=ig_web_copy_link,0,0
ماشاء الله تبارك الله ,"Masha Allah, may God bless you ❤️",Positive,https://www.instagram.com/p/Cj-Nzkirms1/?utm_source=ig_web_copy_link,1,2
ماشاءاللہ,MashaAllah,Positive,https://www.instagram.com/reel/CjfQKpLqxc5/?utm_source=ig_web_copy_link,1,2
گریٹ لالا,Great lala,Positive,https://www.instagram.com/p/CjR74VSq2V-/?utm_source=ig_web_copy_link,1,2
لالا کتنے رنز ہوئے؟,how many runs did lala get?,Neutral,https://www.instagram.com/p/CjN1D7Vu9tQ/?utm_source=ig_web_copy_link,0,0
الحبيب,The beloved,Positive,https://www.instagram.com/p/CHtFvlTFlkG/?utm_source=ig_web_copy_link,1,2
تذكر هالغنية,Remembered thid song,Positive,https://www.instagram.com/p/CHtFvlTFlkG/?utm_source=ig_web_copy_link,1,2
خدا عذاب میں ہے,God is tormented,Negative,https://www.instagram.com/p/CHtFvlTFlkG/?utm_source=ig_web_copy_link,-1,1
ڈریگن,Dragons 😭,Neutral,https://www.instagram.com/p/CHtFvlTFlkG/?utm_source=ig_web_copy_link,0,0
والله ,I Swear,Neutral,https://www.instagram.com/p/ChpJUTRtSXF/?utm_source=ig_web_copy_link,0,0
آپ کے دل میں,In your heart ❤️❤️,Positive,https://www.instagram.com/tv/CgE5hpAFeKd/?utm_source=ig_web_copy_link,1,2
ہر وقت کا پسندیدہ۔,All-time favorite.,Positive,https://influencermarketinghub.com/short-captions-instagram/,1,2
سرپرائز!,Surprise!,Positive,https://influencermarketinghub.com/short-captions-instagram/,1,2
یہ وہ دن ہیں جن کے لیے ہم جی رہے ہیں۔,These are the days we live for.,Positive,https://influencermarketinghub.com/short-captions-instagram/,1,2
یہ میرا لمحہ ہے میں صرف اتنا زندہ محسوس کرتا ہوں۔,This is my moment I just feel so alive.,Positive,https://influencermarketinghub.com/short-captions-instagram/,1,2
لاجواب ہونا نہ بھولیں۔,Don't forget to be awesome.,Positive,https://influencermarketinghub.com/short-captions-instagram/,1,2
جو آپ کی روح کے لیے اچھا ہے، وہ کرو!,"Whatever is good for your soul, do that!",Positive,https://influencermarketinghub.com/short-captions-instagram/,1,2
یہ کتنا زبردست ہے؟,How awesome is this?,Positive,https://influencermarketinghub.com/short-captions-instagram/,1,2
آہ، ایک مکمل طور پر کیپچر کی گئی سیلفی!,"Ah, a perfectly captured selfie!",Positive,https://influencermarketinghub.com/short-captions-instagram/,1,2
پرسکون رہیں اور سیلفی لیں۔,Keep calm and take a selfie.,Positive,https://influencermarketinghub.com/short-captions-instagram/,1,2
میں ہر وقت سیلفی نہیں لیتا، بس ہر روز۔,"I don’t take selfies all the time, just every day.",Negative,https://influencermarketinghub.com/short-captions-instagram/,-1,1
مجھے خود پر قابو نہیں ہونا چاہئے۔,I must have no self control.,Neutral,https://influencermarketinghub.com/short-captions-instagram/,0,0
زندگی ایک آئینے کی طرح ہے۔ جب ہم مسکراتے ہیں تو ہمیں بہترین نتائج ملتے ہیں۔,Life is like a mirror. We get the best results when we smile.,Positive,https://influencermarketinghub.com/short-captions-instagram/,1,2
اپنی آنکھوں سے مسکرائیں۔,Smile with your eyes.,Positive,https://influencermarketinghub.com/short-captions-instagram/,1,2
ایک مسکراہٹ دنیا کو بدل سکتی ہے۔,A smile can change the world.,Positive,https://influencermarketinghub.com/short-captions-instagram/,1,2
بہترین اور شاندار!,Classy and fabulous!,Positive,https://influencermarketinghub.com/short-captions-instagram/,1,2
آپ بدصورت نظر آتے ہیں۔ مجھے آپ کا انداز پسند نہیں ہے۔,u look ugly. i dont like your style,Negative,https://influencermarketinghub.com/short-captions-instagram/,-1,1
سیکسی پراعتماد، خود مختار، اور مزہ کرنا ہے۔,"Sexy is being confident, independent, and having fun.",Positive,https://influencermarketinghub.com/short-captions-instagram/,1,2
میں ٹھنڈا ہونے کی کوشش نہیں کر رہا ہوں۔ یہ وہی ہے جو میں ہوں۔,I am not trying to be cool. It’s what I am.,Positive,https://influencermarketinghub.com/short-captions-instagram/,1,2
اووووف نوک پشیمونن سلطان,Awww Nok Pashimonin Sultan,Positive,https://www.instagram.com/reel/CkQpOseA4P0/?utm_source=ig_web_copy_link,1,2
کیسے !!,how the hell!!!,Negative,https://www.instagram.com/reel/CkQpOseA4P0/?utm_source=ig_web_copy_link,-1,1
يقبرنييي المتحجب,Bury meeeee the veiled one,Positive,https://www.instagram.com/reel/CkQpOseA4P0/?utm_source=ig_web_copy_link,1,2
براوو کین!!!,Bravo Can!!!,Positive,https://www.instagram.com/p/CkI4RtRMhKV/?utm_source=ig_web_copy_link,1,2
زبردست!! جادوئی بادشاہ,Wow!! magical king,Positive,https://www.instagram.com/p/CkI4RtRMhKV/?utm_source=ig_web_copy_link,1,2
براہ مہربانی مجھ سے شادی کرلیں!!!,Please...Marry me!!!,Positive,https://www.instagram.com/p/CkI4RtRMhKV/?utm_source=ig_web_copy_link,1,2
میں تم سے پیار کرتا ہوں,I love you,Positive,https://www.instagram.com/p/CkI4RtRMhKV/?utm_source=ig_web_copy_link,1,2
میں آپ سے نفرت کرتا ہوں، کیونکہ آپ ناقابل یقین ہیں۔,"i hate you,because you are incredible",Positive,https://www.instagram.com/p/CkI4RtRMhKV/?utm_source=ig_web_copy_link,1,2
آپ بوڑھے لگ رہے ہیں,You look old,Negative,https://www.instagram.com/p/CkI4RtRMhKV/?utm_source=ig_web_copy_link,-1,1
عربی میں سیریز کا نام کیا ہے؟,What is the name of the series in Arabic?,Neutral,https://www.instagram.com/p/CkI4RtRMhKV/?utm_source=ig_web_copy_link,0,0
لعشاق المسلسلات التركية العرب يمكنكم مشاهدة مختلف المسلسلات بدون اعلانات مزعجة  وبجودة جيدة على موقعي  مرحبا بكل العر,"For lovers of Turkish and Arab series, you can watch various series without annoying announcements.",Neutral,https://www.instagram.com/reel/CjQALCFgOMZ/?utm_source=ig_web_copy_link,0,0
مجھے تم سے رشک آتا ہے۔,I am jealous of you.,Negative,https://www.instagram.com/reel/CjQALCFgOMZ/?utm_source=ig_web_copy_link,-1,1
سیریز کا نام کیا ہے؟,What is the name of the series?,Neutral,https://www.instagram.com/reel/CjQALCFgOMZ/?utm_source=ig_web_copy_link,0,0
إِنَّ اللَّهَ عَلَىٰ كُلِّ شَيْءٍ قَدِيرٌ,"Indeed, Allah has power over all things.",Positive,https://www.instagram.com/reel/CkvFv3MuG0g/?utm_source=ig_web_copy_lin,1,2
الحمد للہ,Alhamdulillah❤️,Positive,https://www.instagram.com/reel/CkvUBGSpASt/?utm_source=ig_web_copy_link,1,2
کبھی انڈیا کو بھی چھوڑ کر کوئی بات کرو ہر وقت انڈیا                                        ,Sometimes talk about something other than India. All the time India.,Negative,https://www.instagram.com/reel/CkvUBGSpASt/?utm_source=ig_web_copy_link,-1,1
خخخخخخخخخ,Hahahahahaha🤮,Negative,https://www.instagram.com/reel/Cks1kscMLh3/?utm_source=ig_web_copy_link,-1,1
گھبرایا ھوئا,ghabraya hooa(nervous),Negative,https://www.urdupod101.com/urdu-vocabulary-lists/feeling-sad-learn-the-top-21-words-for-Negative-emotions,-1,1
دکھی,dukhee(sad),Negative,https://www.urdupod101.com/urdu-vocabulary-lists/feeling-sad-learn-the-top-21-words-for-Negative-emotions,-1,1
بیزار,bezaar(Bored),Neutral,https://www.urdupod101.com/urdu-vocabulary-lists/feeling-sad-learn-the-top-21-words-for-Negative-emotions,0,0
بیزار,pareshaan(upset),Negative,https://www.urdupod101.com/urdu-vocabulary-lists/feeling-sad-learn-the-top-21-words-for-Negative-emotions,-1,1
مایوس کُن,Mayoos kun(frustated),Negative,https://www.urdupod101.com/urdu-vocabulary-lists/feeling-sad-learn-the-top-21-words-for-Negative-emotions,-1,1
مایوس,Mayoos(disappointed),Negative,https://www.urdupod101.com/urdu-vocabulary-lists/feeling-sad-learn-the-top-21-words-for-Negative-emotions,-1,1
الجھا ہوا,uljha huwa(Confused),Negative,https://www.urdupod101.com/urdu-vocabulary-lists/feeling-sad-learn-the-top-21-words-for-Negative-emotions,-1,1
آفت زدہ,aafat zada(miserable),Negative,https://www.urdupod101.com/urdu-vocabulary-lists/feeling-sad-learn-the-top-21-words-for-Negative-emotions,-1,1
کراہت والا,Karahat wala(disgusted),Negative,https://www.urdupod101.com/urdu-vocabulary-lists/feeling-sad-learn-the-top-21-words-for-Negative-emotions,-1,1
مشکوک,Mashkook(Suspicious),Negative,https://www.urdupod101.com/urdu-vocabulary-lists/feeling-sad-learn-the-top-21-words-for-Negative-emotions,-1,1
تنہا,tanha(Lonely),Negative,https://www.urdupod101.com/urdu-vocabulary-lists/feeling-sad-learn-the-top-21-words-for-Negative-emotions,-1,1
احمق,Ehmaq(Silly),Negative,https://www.urdupod101.com/urdu-vocabulary-lists/feeling-sad-learn-the-top-21-words-for-Negative-emotions,-1,1
خوفناک,khofnaak(terrible),Negative,https://www.urdupod101.com/urdu-vocabulary-lists/feeling-sad-learn-the-top-21-words-for-Negative-emotions,-1,1
خوف زدہ,Khofzada(frightened),Negative,https://www.urdupod101.com/urdu-vocabulary-lists/feeling-sad-learn-the-top-21-words-for-Negative-emotions,-1,1
ہَکا بَکا,hakka bakka(Shocked),Negative,https://www.urdupod101.com/urdu-vocabulary-lists/feeling-sad-learn-the-top-21-words-for-Negative-emotions,-1,1
ناراض,Naraaz(annoyed),Negative,https://www.urdupod101.com/urdu-vocabulary-lists/feeling-sad-learn-the-top-21-words-for-Negative-emotions,-1,1
کیا آپ اپنے اعمال کے نتائج سے واقف نہیں ہیں؟,Are you not aware of the consequences of your actions?,Negative,https://learnenglishfromurdu.com/Negative-sentences-in-urdu/,-1,1
سگریٹ نوشی منع ہے.,No smoking.,Positive,https://learnenglishfromurdu.com/Negative-sentences-in-urdu/,1,2
وہ تیر نہیں سکتی۔,She can not swim.,Neutral,https://learnenglishfromurdu.com/Negative-sentences-in-urdu/,0,0
وہ کرکٹ کھیلتا ہے۔,He plays cricket.,Positive,https://learnenglishfromurdu.com/Negative-sentences-in-urdu/,1,2
وہ مضامین لکھتی ہے۔,She writes articles.,Positive,https://learnenglishfromurdu.com/Negative-sentences-in-urdu/,1,2
اس کے پاس اچھا بنگلہ نہیں تھا۔,He did not have a nice banglow.,Negative,https://learnenglishfromurdu.com/Negative-sentences-in-urdu/,-1,1
اس کا کوئی بیٹا نہیں تھا۔,She did not have a son.,Negative,https://learnenglishfromurdu.com/Negative-sentences-in-urdu/,-1,1
احمد کا جسم اچھا تھا۔,Ahmed had a nice body. ,Neutral,https://learnenglishfromurdu.com/Negative-sentences-in-urdu/,0,0
کیا آپ پارٹی میں نہیں گئے؟,Have you not been to the party?,Negative,https://learnenglishfromurdu.com/Negative-sentences-in-urdu/,-1,1
نہیں، ہم آپ سے متفق نہیں ہیں۔,"No, we don’t agree with you",Negative,https://learnenglishfromurdu.com/Negative-sentences-in-urdu/,-1,1
نہیں میں آج نہیں آؤں گا۔,"No, I will not come today.",Negative,https://learnenglishfromurdu.com/Negative-sentences-in-urdu/,-1,1
نہیں، وہ تیر نہیں سکتی۔,"No, she cann’t swim.",Negative,https://learnenglishfromurdu.com/Negative-sentences-in-urdu/,-1,1
اس کے پاس پیسے نہیں ہیں۔,She has no money.,Negative,https://learnenglishfromurdu.com/Negative-sentences-in-urdu/,-1,1
کوئی اسے بچانے نہیں آیا۔,No one came to rescue her.,Negative,https://learnenglishfromurdu.com/Negative-sentences-in-urdu/,-1,1
ہم میں سے کوئی بھی اس کی شادی میں موجود نہیں تھا۔,None of us was present in her wedding.,Negative,https://learnenglishfromurdu.com/Negative-sentences-in-urdu/,-1,1
نہ اسے اور نہ ہی اس کے خاندان کو مدعو کیا گیا تھا۔,Neither he nor his family was invited.,Negative,https://learnenglishfromurdu.com/Negative-sentences-in-urdu/,-1,1
وہ استاد کی بہت بے عزتی کرتا تھا۔,He was very disrespectful to the teacher.,Negative,https://learnenglishfromurdu.com/Negative-sentences-in-urdu/,-1,1
وہ یہاں کبھی نہیں آئے گی۔,She will not come never here.,Negative,https://learnenglishfromurdu.com/Negative-sentences-in-urdu/,-1,1
وہ کوئی غیر ذمہ دار شخص نہیں ہے۔,He is not an irresponsible person.,Negative,https://learnenglishfromurdu.com/Negative-sentences-in-urdu/,-1,1
موڈ خراب نہ کریں۔,Don’t spoil the mood.,Negative,https://learnenglishfromurdu.com/Negative-sentences-in-urdu/,-1,1
بہترین لیڈر,best leader😭😭💖,Positive,https://www.instagram.com/reel/CjLoWPLjYI-/?utm_source=ig_web_copy_link,1,2
أحب أخلاق بانقتان وعلاقتهم في بعض ,I love the morals and their interest in each other😭😭😭,Positive,https://www.instagram.com/reel/CjLoWPLjYI-/?utm_source=ig_web_copy_link,1,2
حبيبي دوما لطيف نامجون الورد ضد الحراره ولبرد                              ,my baby always cute namjoon rose against heat and cold😔💗,Positive,https://www.instagram.com/reel/CjLoWPLjYI-/?utm_source=ig_web_copy_link,1,2
نامجون دائما احسه أبوهم اكثر من كونه قائدهم                                                     ,Namjoon always feels their father more than being their leader,Positive,https://www.instagram.com/reel/CjLoWPLjYI-/?utm_source=ig_web_copy_link,1,2
بيست ليدر,Best leader ever,Positive,https://www.instagram.com/reel/CjLoWPLjYI-/?utm_source=ig_web_copy_link,1,2
كنزنا الثمين,Our precious treasure,Positive,https://www.instagram.com/reel/CjLoWPLjYI-/?utm_source=ig_web_copy_link,1,2
حبيبي نامجون,My baby namjoon 😢😢,Positive,https://www.instagram.com/reel/CjLoWPLjYI-/?utm_source=ig_web_copy_link,1,2
فازوا؟,Did they win,Neutral,https://www.instagram.com/reel/CjLoWPLjYI-/?utm_source=ig_web_copy_link,0,0
يا قلبي ,Oh my heart 💔💔💔,Negative,https://www.instagram.com/reel/CjLoWPLjYI-/?utm_source=ig_web_copy_link,-1,1
جيمين واثق من حالةةةة ,Jimin is confident of his situation 🌚💪🏻,Positive,https://www.instagram.com/reel/CjLoWPLjYI-/?utm_source=ig_web_copy_link,1,2
اصلاً احنا مناخذ جوائز مزيفة بس احنا جوائزنا حقيقييييية مـ‏ﯡ مثلهم,"Actually, we accept fake awards, but our prizes are real, like them",Positive,https://www.instagram.com/reel/CjLoWPLjYI-/?utm_source=ig_web_copy_link,1,2
يروحون فدوه الغرامي واهلهم لجونغكوكي ونامجوني,They and their families go to the love of Jungkookie and Jungkookie♥,Positive,https://www.instagram.com/reel/CjLoWPLjYI-/?utm_source=ig_web_copy_link,1,2
هاد اب مو قائد,This father is not a leader💔🥺,Neutral,https://www.instagram.com/reel/CjLoWPLjYI-/?utm_source=ig_web_copy_link,0,0
يجنن ده الليدر ,This leader is crazy ❤️❤️❤️,Positive,https://www.instagram.com/reel/CjLoWPLjYI-/?utm_source=ig_web_copy_link,1,2
احب علاقتهم تحسوهم اخوان مو فرقه,"I love their relationship, you feel like they are brothers, not a team 😭😭😭😭😭😭",Positive,https://www.instagram.com/reel/CjLoWPLjYI-/?utm_source=ig_web_copy_link,1,2
مثل اب و النواب ,Like father and deputies 😍😍😍😍❤️❤️❤️ ❤️❤️,Positive,https://www.instagram.com/reel/CjLoWPLjYI-/?utm_source=ig_web_copy_link,1,2
شنو اسم الحلقة فدوة او البرنامج,What is the name of the episode Fadwa or the program?,Neutral,https://www.instagram.com/reel/CjLoWPLjYI-/?utm_source=ig_web_copy_link,0,0
هي حفلة توزيع جوائز جرامي                                                                       ,is a GRAMMY,Positive,https://www.instagram.com/reel/CjLoWPLjYI-/?utm_source=ig_web_copy_link,1,2
میری محبت کا کیا مطلب ہے؟,What does my love mean?,Positive,https://www.instagram.com/reel/CjLoWPLjYI-/?utm_source=ig_web_copy_link,1,2
زوجييي,My husband,Positive,https://www.instagram.com/reel/CjLoWPLjYI-/?utm_source=ig_web_copy_link,1,2
يعمري ,My age 🥺,Positive,https://www.instagram.com/reel/CjLoWPLjYI-/?utm_source=ig_web_copy_link,1,2
الكل متؤتر شؤفؤ جيميني كله ثقه,"Everyone is nervous, see Gemini, it's all confidence😭❤",Neutral,https://www.instagram.com/reel/CjLoWPLjYI-/?utm_source=ig_web_copy_link,0,0
زوووجججيييي ,Zoooooooooo 🙂🙂,Neutral,https://www.instagram.com/reel/CjLoWPLjYI-/?utm_source=ig_web_copy_link,0,0
ياخي يجننوننن ,Bruh they going crazyyyyy ❤️❤️😭😭,Positive,https://www.instagram.com/reel/CjLoWPLjYI-/?utm_source=ig_web_copy_link,1,2
كل الحب لنامجون ,all the love for jungkook ❤️❤️❤️❤,Positive,https://www.instagram.com/reel/CjLoWPLjYI-/?utm_source=ig_web_copy_link,1,2
